mantle.party.PartyServices.create#Organization,demo
partyId,organizationName,roleTypeId
G0001,Royal Dutch Shell,Customer
G0002,Exxon Mobil,Customer
G0003,Wal-Mart Stores,Customer
G0004,BP,Customer
G0005,Sinopec Group,Customer
G0006,China National Petroleum,Customer
G0007,State Grid,Customer
G0009,ConocoPhillips,Customer
G0010,Toyota Motor,Customer
G0011,Total,Customer
G0012,Volkswagen,Customer
G0013,Japan Post Holdings,Customer
G0014,Glencore International,Customer
G0015,Gazprom,Customer
G0016,E.ON,Customer
G0017,ENI,Customer
G0018,ING Group,Customer
G0019,General Motors,Customer
G0020,Samsung Electronics,Customer
G0021,Daimler,Customer
G0022,General Electric,Customer
G0023,Petrobras,Customer
G0024,Berkshire Hathaway,Customer
G0025,AXA,Customer
